year,country,country_code,opponent,goals_scored,goals_conceded,open_play_goals,own_goals,penalty_goals,result,round,date,red_cards,teams_in_tournament
1960,France,FRA,Czechoslovakia,0.0,2.0,0.0,0,0,loss,THIRD_PLAY_OFF,1960-07-09,0,4
1960,France,FRA,Yugoslavia,4.0,5.0,4.0,0,0,loss,SEMIFINAL,1960-07-06,0,4
1964,Spain,ESP,USSR,2.0,1.0,2.0,0,0,win,FINAL,1964-06-21,0,4
1964,Hungary,HUN,Denmark,3.0,1.0,2.0,0,1,win,THIRD_PLAY_OFF,1964-06-20,0,4
1964,Denmark,DEN,Hungary,1.0,3.0,1.0,0,0,loss,THIRD_PLAY_OFF,1964-06-20,0,4
1964,Denmark,DEN,USSR,0.0,3.0,0.0,0,0,loss,SEMIFINAL,1964-06-17,0,4
1964,Spain,ESP,Hungary,2.0,1.0,2.0,0,0,win,SEMIFINAL,1964-06-17,0,4
1964,Hungary,HUN,Spain,1.0,2.0,1.0,0,0,loss,SEMIFINAL,1964-06-17,0,4
1968,Italy,ITA,Yugoslavia,2.0,0.0,2.0,0,0,win,FINAL,1968-06-10,0,4
1968,Italy,ITA,Yugoslavia,1.0,1.0,1.0,0,0,draw,FINAL,1968-06-08,0,4
1968,England,ENG,USSR,2.0,0.0,2.0,0,0,win,THIRD_PLAY_OFF,1968-06-08,0,4
1968,England,ENG,Yugoslavia,0.0,1.0,0.0,0,0,loss,SEMIFINAL,1968-06-05,1,4
1968,Italy,ITA,USSR,0.0,0.0,0.0,0,0,draw,SEMIFINAL,1968-06-05,0,4
1972,Hungary,HUN,Belgium,1.0,2.0,0.0,0,1,loss,THIRD_PLAY_OFF,1972-06-17,0,4
1972,Belgium,BEL,Hungary,2.0,1.0,2.0,0,0,win,THIRD_PLAY_OFF,1972-06-17,0,4
1972,Belgium,BEL,West Germany,1.0,2.0,1.0,0,0,loss,SEMIFINAL,1972-06-14,0,4
1972,Hungary,HUN,USSR,0.0,1.0,0.0,0,0,loss,SEMIFINAL,1972-06-14,0,4
1976,Netherlands,NED,Yugoslavia,3.0,2.0,3.0,0,0,win,THIRD_PLAY_OFF,1976-06-19,0,4
1976,Netherlands,NED,Czechoslovakia,1.0,3.0,1.0,0,0,loss,SEMIFINAL,1976-06-16,3,4
1980,Belgium,BEL,West Germany,1.0,2.0,0.0,0,1,loss,FINAL,1980-06-22,0,8
1980,Italy,ITA,Czechoslovakia,1.0,1.0,1.0,0,0,draw,THIRD_PLAY_OFF,1980-06-21,0,8
1980,Italy,ITA,Belgium,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1980-06-18,0,8
1980,Belgium,BEL,Italy,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1980-06-18,0,8
1980,Spain,ESP,England,1.0,2.0,0.0,0,1,loss,GROUP_STANDINGS,1980-06-18,0,8
1980,England,ENG,Spain,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1980-06-18,0,8
1980,Greece,GRE,West Germany,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1980-06-17,0,8
1980,Netherlands,NED,Czechoslovakia,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1980-06-17,0,8
1980,England,ENG,Italy,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1980-06-15,0,8
1980,Italy,ITA,England,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1980-06-15,0,8
1980,Belgium,BEL,Spain,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1980-06-15,0,8
1980,Spain,ESP,Belgium,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1980-06-15,0,8
1980,Greece,GRE,Czechoslovakia,1.0,3.0,1.0,0,0,loss,GROUP_STANDINGS,1980-06-14,0,8
1980,Netherlands,NED,West Germany,2.0,3.0,2.0,0,0,loss,GROUP_STANDINGS,1980-06-14,0,8
1980,Spain,ESP,Italy,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1980-06-12,0,8
1980,Italy,ITA,Spain,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1980-06-12,0,8
1980,Belgium,BEL,England,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1980-06-12,0,8
1980,England,ENG,Belgium,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1980-06-12,0,8
1980,Netherlands,NED,Greece,1.0,0.0,0.0,0,1,win,GROUP_STANDINGS,1980-06-11,0,8
1980,Greece,GRE,Netherlands,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1980-06-11,0,8
1984,France,FRA,Spain,2.0,0.0,2.0,0,0,win,FINAL,1984-06-27,1,8
1984,Spain,ESP,France,0.0,2.0,0.0,0,0,loss,FINAL,1984-06-27,1,8
1984,Denmark,DEN,Spain,1.0,1.0,1.0,0,0,draw,SEMIFINAL,1984-06-24,1,8
1984,Spain,ESP,Denmark,1.0,1.0,1.0,0,0,draw,SEMIFINAL,1984-06-24,1,8
1984,France,FRA,Portugal,3.0,2.0,3.0,0,0,win,SEMIFINAL,1984-06-23,0,8
1984,Portugal,POR,France,2.0,3.0,2.0,0,0,loss,SEMIFINAL,1984-06-23,0,8
1984,Portugal,POR,Romania,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1984-06-20,0,8
1984,Romania,ROU,Portugal,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1984-06-20,0,8
1984,Spain,ESP,West Germany,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1984-06-20,0,8
1984,Denmark,DEN,Belgium,3.0,2.0,2.0,0,1,win,GROUP_STANDINGS,1984-06-19,0,8
1984,Belgium,BEL,Denmark,2.0,3.0,2.0,0,0,loss,GROUP_STANDINGS,1984-06-19,0,8
1984,France,FRA,Yugoslavia,3.0,2.0,2.0,0,1,win,GROUP_STANDINGS,1984-06-19,0,8
1984,Portugal,POR,Spain,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1984-06-17,0,8
1984,Spain,ESP,Portugal,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1984-06-17,0,8
1984,Romania,ROU,West Germany,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1984-06-17,0,8
1984,Denmark,DEN,Yugoslavia,5.0,0.0,4.0,0,1,win,GROUP_STANDINGS,1984-06-16,0,8
1984,France,FRA,Belgium,5.0,0.0,4.0,0,1,win,GROUP_STANDINGS,1984-06-16,0,8
1984,Belgium,BEL,France,0.0,5.0,0.0,0,0,loss,GROUP_STANDINGS,1984-06-16,0,8
1984,Romania,ROU,Spain,1.0,1.0,0.0,0,1,draw,GROUP_STANDINGS,1984-06-14,0,8
1984,Spain,ESP,Romania,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1984-06-14,0,8
1984,Portugal,POR,West Germany,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1984-06-14,0,8
1984,Belgium,BEL,Yugoslavia,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1984-06-13,0,8
1984,France,FRA,Denmark,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1984-06-12,1,8
1984,Denmark,DEN,France,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1984-06-12,1,8
1988,Netherlands,NED,USSR,2.0,0.0,2.0,0,0,win,FINAL,1988-06-25,0,8
1988,Italy,ITA,USSR,0.0,2.0,0.0,0,0,loss,SEMIFINAL,1988-06-22,0,8
1988,Netherlands,NED,West Germany,2.0,1.0,2.0,0,0,win,SEMIFINAL,1988-06-21,0,8
1988,Ireland,IRL,Netherlands,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-18,0,8
1988,Netherlands,NED,Ireland,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1988-06-18,0,8
1988,England,ENG,USSR,1.0,3.0,1.0,0,0,loss,GROUP_STANDINGS,1988-06-18,0,8
1988,Spain,ESP,West Germany,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-17,0,8
1988,Italy,ITA,Denmark,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1988-06-17,0,8
1988,Denmark,DEN,Italy,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-17,0,8
1988,Ireland,IRL,USSR,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1988-06-15,0,8
1988,England,ENG,Netherlands,1.0,3.0,1.0,0,0,loss,GROUP_STANDINGS,1988-06-15,0,8
1988,Netherlands,NED,England,3.0,1.0,3.0,0,0,win,GROUP_STANDINGS,1988-06-15,0,8
1988,Italy,ITA,Spain,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1988-06-14,0,8
1988,Spain,ESP,Italy,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-14,0,8
1988,Denmark,DEN,West Germany,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-14,0,8
1988,Netherlands,NED,USSR,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-12,0,8
1988,England,ENG,Ireland,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1988-06-12,0,8
1988,Ireland,IRL,England,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1988-06-12,0,8
1988,Denmark,DEN,Spain,2.0,3.0,2.0,0,0,loss,GROUP_STANDINGS,1988-06-11,0,8
1988,Spain,ESP,Denmark,3.0,2.0,3.0,0,0,win,GROUP_STANDINGS,1988-06-11,0,8
1988,Italy,ITA,West Germany,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1988-06-10,0,8
1992,Denmark,DEN,Germany,2.0,0.0,2.0,0,0,win,FINAL,1992-06-26,0,8
1992,Germany,GER,Denmark,0.0,2.0,0.0,0,0,loss,FINAL,1992-06-26,0,8
1992,Netherlands,NED,Denmark,2.0,2.0,2.0,0,0,draw,SEMIFINAL,1992-06-22,0,8
1992,Denmark,DEN,Netherlands,2.0,2.0,2.0,0,0,draw,SEMIFINAL,1992-06-22,0,8
1992,Sweden,SWE,Germany,2.0,3.0,1.0,0,1,loss,SEMIFINAL,1992-06-21,0,8
1992,Germany,GER,Sweden,3.0,2.0,3.0,0,0,win,SEMIFINAL,1992-06-21,0,8
1992,Scotland,SCO,Commonwealth of Independent States,3.0,0.0,2.0,0,1,win,GROUP_STANDINGS,1992-06-18,0,8
1992,Netherlands,NED,Germany,3.0,1.0,3.0,0,0,win,GROUP_STANDINGS,1992-06-18,0,8
1992,Germany,GER,Netherlands,1.0,3.0,1.0,0,0,loss,GROUP_STANDINGS,1992-06-18,0,8
1992,France,FRA,Denmark,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1992-06-17,0,8
1992,Denmark,DEN,France,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1992-06-17,0,8
1992,Sweden,SWE,England,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1992-06-17,0,8
1992,England,ENG,Sweden,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1992-06-17,0,8
1992,Netherlands,NED,Commonwealth of Independent States,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1992-06-15,0,8
1992,Scotland,SCO,Germany,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1992-06-15,0,8
1992,Germany,GER,Scotland,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1992-06-15,0,8
1992,Sweden,SWE,Denmark,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1992-06-14,0,8
1992,Denmark,DEN,Sweden,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1992-06-14,0,8
1992,France,FRA,England,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1992-06-14,0,8
1992,England,ENG,France,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1992-06-14,0,8
1992,Germany,GER,Commonwealth of Independent States,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1992-06-12,0,8
1992,Netherlands,NED,Scotland,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1992-06-12,0,8
1992,Scotland,SCO,Netherlands,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1992-06-12,0,8
1992,Denmark,DEN,England,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1992-06-11,0,8
1992,England,ENG,Denmark,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1992-06-11,0,8
1992,Sweden,SWE,France,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1992-06-10,0,8
1992,France,FRA,Sweden,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1992-06-10,0,8
1996,Czechia,CZE,Germany,1.0,2.0,0.0,0,1,loss,FINAL,1996-06-30,0,16
1996,Germany,GER,Czechia,2.0,1.0,2.0,0,0,win,FINAL,1996-06-30,0,16
1996,Germany,GER,England,1.0,1.0,1.0,0,0,draw,SEMIFINAL,1996-06-26,0,16
1996,England,ENG,Germany,1.0,1.0,1.0,0,0,draw,SEMIFINAL,1996-06-26,0,16
1996,France,FRA,Czechia,0.0,0.0,0.0,0,0,draw,SEMIFINAL,1996-06-26,0,16
1996,Czechia,CZE,France,0.0,0.0,0.0,0,0,draw,SEMIFINAL,1996-06-26,0,16
1996,Czechia,CZE,Portugal,1.0,0.0,1.0,0,0,win,QUARTER_FINALS,1996-06-23,1,16
1996,Portugal,POR,Czechia,0.0,1.0,0.0,0,0,loss,QUARTER_FINALS,1996-06-23,1,16
1996,Germany,GER,Croatia,2.0,1.0,1.0,0,1,win,QUARTER_FINALS,1996-06-23,1,16
1996,Croatia,CRO,Germany,1.0,2.0,1.0,0,0,loss,QUARTER_FINALS,1996-06-23,1,16
1996,France,FRA,Netherlands,0.0,0.0,0.0,0,0,draw,QUARTER_FINALS,1996-06-22,0,16
1996,Netherlands,NED,France,0.0,0.0,0.0,0,0,draw,QUARTER_FINALS,1996-06-22,0,16
1996,Spain,ESP,England,0.0,0.0,0.0,0,0,draw,QUARTER_FINALS,1996-06-22,0,16
1996,England,ENG,Spain,0.0,0.0,0.0,0,0,draw,QUARTER_FINALS,1996-06-22,0,16
1996,Italy,ITA,Germany,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1996-06-19,1,16
1996,Germany,GER,Italy,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1996-06-19,1,16
1996,Russia,RUS,Czechia,3.0,3.0,3.0,0,0,draw,GROUP_STANDINGS,1996-06-19,0,16
1996,Czechia,CZE,Russia,3.0,3.0,3.0,0,0,draw,GROUP_STANDINGS,1996-06-19,0,16
1996,Turkey,TUR,Denmark,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-19,0,16
1996,Denmark,DEN,Turkey,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,1996-06-19,0,16
1996,Croatia,CRO,Portugal,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-19,0,16
1996,Portugal,POR,Croatia,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,1996-06-19,0,16
1996,Netherlands,NED,England,1.0,4.0,0.0,0,1,loss,GROUP_STANDINGS,1996-06-18,0,16
1996,England,ENG,Netherlands,4.0,1.0,4.0,0,0,win,GROUP_STANDINGS,1996-06-18,0,16
1996,Scotland,SCO,Switzerland,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1996-06-18,0,16
1996,Switzerland,SUI,Scotland,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-18,0,16
1996,Romania,ROU,Spain,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1996-06-18,0,16
1996,Spain,ESP,Romania,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-18,0,16
1996,France,FRA,Bulgaria,3.0,1.0,2.0,1,0,win,GROUP_STANDINGS,1996-06-18,0,16
1996,Bulgaria,BUL,France,1.0,3.0,1.0,0,0,loss,GROUP_STANDINGS,1996-06-18,0,16
1996,Croatia,CRO,Denmark,3.0,0.0,2.0,0,1,win,GROUP_STANDINGS,1996-06-16,0,16
1996,Denmark,DEN,Croatia,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-16,0,16
1996,Russia,RUS,Germany,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-16,1,16
1996,Germany,GER,Russia,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,1996-06-16,1,16
1996,France,FRA,Spain,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-15,0,16
1996,Spain,ESP,France,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-15,0,16
1996,Scotland,SCO,England,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-15,0,16
1996,England,ENG,Scotland,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-15,0,16
1996,Czechia,CZE,Italy,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-14,1,16
1996,Italy,ITA,Czechia,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1996-06-14,1,16
1996,Portugal,POR,Turkey,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1996-06-14,0,16
1996,Turkey,TUR,Portugal,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-14,0,16
1996,Switzerland,SUI,Netherlands,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-13,0,16
1996,Netherlands,NED,Switzerland,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-13,0,16
1996,Bulgaria,BUL,Romania,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1996-06-13,0,16
1996,Romania,ROU,Bulgaria,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-13,0,16
1996,Turkey,TUR,Croatia,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-11,0,16
1996,Croatia,CRO,Turkey,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1996-06-11,0,16
1996,Italy,ITA,Russia,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-11,0,16
1996,Russia,RUS,Italy,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,1996-06-11,0,16
1996,Romania,ROU,France,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-10,0,16
1996,France,FRA,Romania,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,1996-06-10,0,16
1996,Netherlands,NED,Scotland,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1996-06-10,0,16
1996,Scotland,SCO,Netherlands,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,1996-06-10,0,16
1996,Denmark,DEN,Portugal,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-09,0,16
1996,Portugal,POR,Denmark,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-09,0,16
1996,Germany,GER,Czechia,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,1996-06-09,0,16
1996,Czechia,CZE,Germany,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,1996-06-09,0,16
1996,Spain,ESP,Bulgaria,1.0,1.0,0.0,0,1,draw,GROUP_STANDINGS,1996-06-09,2,16
1996,Bulgaria,BUL,Spain,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-09,2,16
1996,England,ENG,Switzerland,1.0,1.0,0.0,0,1,draw,GROUP_STANDINGS,1996-06-08,0,16
1996,Switzerland,SUI,England,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,1996-06-08,0,16
2000,France,FRA,Italy,2.0,1.0,2.0,0,0,win,FINAL,2000-07-02,0,16
2000,Italy,ITA,France,1.0,2.0,1.0,0,0,loss,FINAL,2000-07-02,0,16
2000,Italy,ITA,Netherlands,0.0,0.0,0.0,0,0,draw,SEMIFINAL,2000-06-29,1,16
2000,Netherlands,NED,Italy,0.0,0.0,0.0,0,0,draw,SEMIFINAL,2000-06-29,1,16
2000,France,FRA,Portugal,2.0,1.0,1.0,0,1,win,SEMIFINAL,2000-06-28,0,16
2000,Portugal,POR,France,1.0,2.0,1.0,0,0,loss,SEMIFINAL,2000-06-28,0,16
2000,Spain,ESP,France,1.0,2.0,0.0,0,1,loss,QUARTER_FINALS,2000-06-25,0,16
2000,France,FRA,Spain,2.0,1.0,2.0,0,0,win,QUARTER_FINALS,2000-06-25,0,16
2000,Netherlands,NED,Yugoslavia,6.0,1.0,5.0,1,0,win,QUARTER_FINALS,2000-06-25,0,16
2000,Italy,ITA,Romania,2.0,0.0,2.0,0,0,win,QUARTER_FINALS,2000-06-24,1,16
2000,Romania,ROU,Italy,0.0,2.0,0.0,0,0,loss,QUARTER_FINALS,2000-06-24,1,16
2000,Turkey,TUR,Portugal,0.0,2.0,0.0,0,0,loss,QUARTER_FINALS,2000-06-24,1,16
2000,Portugal,POR,Turkey,2.0,0.0,2.0,0,0,win,QUARTER_FINALS,2000-06-24,1,16
2000,France,FRA,Netherlands,2.0,3.0,2.0,0,0,loss,GROUP_STANDINGS,2000-06-21,0,16
2000,Netherlands,NED,France,3.0,2.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-21,0,16
2000,Denmark,DEN,Czechia,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-21,0,16
2000,Czechia,CZE,Denmark,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-21,0,16
2000,Slovenia,SVN,Norway,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,2000-06-21,0,16
2000,Norway,NOR,Slovenia,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,2000-06-21,0,16
2000,Spain,ESP,Yugoslavia,4.0,3.0,4.0,0,0,win,GROUP_STANDINGS,2000-06-21,1,16
2000,Portugal,POR,Germany,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-20,0,16
2000,Germany,GER,Portugal,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-20,0,16
2000,England,ENG,Romania,2.0,3.0,0.0,0,2,loss,GROUP_STANDINGS,2000-06-20,0,16
2000,Romania,ROU,England,3.0,2.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-20,0,16
2000,Italy,ITA,Sweden,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-19,0,16
2000,Sweden,SWE,Italy,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,2000-06-19,0,16
2000,Turkey,TUR,Belgium,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-19,1,16
2000,Belgium,BEL,Turkey,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-19,1,16
2000,Norway,NOR,Yugoslavia,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-18,1,16
2000,Slovenia,SVN,Spain,1.0,2.0,1.0,0,0,loss,GROUP_STANDINGS,2000-06-18,0,16
2000,Spain,ESP,Slovenia,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-18,0,16
2000,England,ENG,Germany,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,2000-06-17,0,16
2000,Germany,GER,England,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-17,0,16
2000,Romania,ROU,Portugal,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-17,0,16
2000,Portugal,POR,Romania,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,2000-06-17,0,16
2000,Denmark,DEN,Netherlands,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-16,0,16
2000,Netherlands,NED,Denmark,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-16,0,16
2000,Czechia,CZE,France,1.0,2.0,0.0,0,1,loss,GROUP_STANDINGS,2000-06-16,0,16
2000,France,FRA,Czechia,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-16,0,16
2000,Sweden,SWE,Turkey,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,2000-06-15,0,16
2000,Turkey,TUR,Sweden,0.0,0.0,0.0,0,0,draw,GROUP_STANDINGS,2000-06-15,0,16
2000,Italy,ITA,Belgium,2.0,0.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-14,0,16
2000,Belgium,BEL,Italy,0.0,2.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-14,0,16
2000,Slovenia,SVN,Yugoslavia,3.0,3.0,3.0,0,0,draw,GROUP_STANDINGS,2000-06-13,1,16
2000,Spain,ESP,Norway,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-13,0,16
2000,Norway,NOR,Spain,1.0,0.0,1.0,0,0,win,GROUP_STANDINGS,2000-06-13,0,16
2000,Portugal,POR,England,3.0,2.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-12,0,16
2000,England,ENG,Portugal,2.0,3.0,2.0,0,0,loss,GROUP_STANDINGS,2000-06-12,0,16
2000,Germany,GER,Romania,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,2000-06-12,0,16
2000,Romania,ROU,Germany,1.0,1.0,1.0,0,0,draw,GROUP_STANDINGS,2000-06-12,0,16
2000,Netherlands,NED,Czechia,1.0,0.0,0.0,0,1,win,GROUP_STANDINGS,2000-06-11,0,16
2000,Czechia,CZE,Netherlands,0.0,1.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-11,0,16
2000,France,FRA,Denmark,3.0,0.0,3.0,0,0,win,GROUP_STANDINGS,2000-06-11,0,16
2000,Denmark,DEN,France,0.0,3.0,0.0,0,0,loss,GROUP_STANDINGS,2000-06-11,0,16
2000,Turkey,TUR,Italy,1.0,2.0,0.0,0,1,loss,GROUP_STANDINGS,2000-06-11,0,16
2000,Italy,ITA,Turkey,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-11,0,16
2000,Belgium,BEL,Sweden,2.0,1.0,2.0,0,0,win,GROUP_STANDINGS,2000-06-10,1,16
