id_match,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
2036211,W49,W50,,,,,,,,,,,2024,2024-07-14,2024-07-14T19:00:00Z,2.0,,MD7,,,,,,UPCOMING,SINGLE,FINAL,FINAL,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,[],Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036210,W47,W48,,,,,,,,,,,2024,2024-07-10,2024-07-10T19:00:00Z,2.0,,MD6,,,,,,UPCOMING,SINGLE,SEMIFINAL,KNOCK_OUT,,57798,GER,81365.0,51.4925889,7.4517722,105.0,68.0,,,,,[],Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,Signal Iduna Park
2036209,W45,W46,,,,,,,,,,,2024,2024-07-09,2024-07-09T19:00:00Z,2.0,,MD6,,,,,,UPCOMING,SINGLE,SEMIFINAL,KNOCK_OUT,,85441,GER,75000.0,48.2187944,11.6247306,105.0,68.0,,,,,[],Munich,Munich Football Arena,Football Arena Munich,Fußball Arena München,Munich Football Arena,Allianz Arena
2036207,W43,W44,,,,,,,,,,,2024,2024-07-06,2024-07-06T19:00:00Z,2.0,,MD5,,,,,,UPCOMING,SINGLE,QUARTER_FINALS,KNOCK_OUT,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,[],Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036208,W40,W38,,,,,,,,,,,2024,2024-07-06,2024-07-06T16:00:00Z,2.0,,MD5,,,,,,UPCOMING,SINGLE,QUARTER_FINALS,KNOCK_OUT,,1100174,GER,44559.0,51.260304,6.732731,105.0,68.0,,,,,[],Dusseldorf,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,ESPRIT arena
2036206,W41,W42,,,,,,,,,,,2024,2024-07-05,2024-07-05T19:00:00Z,2.0,,MD5,,,,,,UPCOMING,SINGLE,QUARTER_FINALS,KNOCK_OUT,,53103,GER,51831.0,53.5871556,9.8985528,105.0,68.0,,,,,[],Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
2036205,W39,W37,,,,,,,,,,,2024,2024-07-05,2024-07-05T16:00:00Z,2.0,,MD5,,,,,,UPCOMING,SINGLE,QUARTER_FINALS,KNOCK_OUT,,53101,GER,54697.0,48.7922694,9.2320083,105.0,68.0,,,,,[],Stuttgart,Stuttgart Arena,Mercedes-Benz-Arena,Arena Stuttgart,Stuttgart Arena,Mercedes-Benz Arena
2036204,1st: D,2nd: F,,,,,,,,,,,2024,2024-07-02,2024-07-02T19:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,85442,GER,42146.0,51.3457333,12.3481806,105.0,68.0,,,,,[],Leipzig,Leipzig Stadium,RB Arena,RB Arena,Leipzig Stadium,Red Bull Arena
2036203,1st: E,3rd: A/B/C/D,,,,,,,,,,,2024,2024-07-02,2024-07-02T16:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,85441,GER,75000.0,48.2187944,11.6247306,105.0,68.0,,,,,[],Munich,Munich Football Arena,Football Arena Munich,Fußball Arena München,Munich Football Arena,Allianz Arena
2036201,1st: F,3rd: A/B/C,,,,,,,,,,,2024,2024-07-01,2024-07-01T19:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,85690,GER,49474.0,50.0685861,8.6454556,105.0,68.0,,,,,[],Frankfurt am Main,Frankfurt Arena,Frankfurt Stadion,Frankfurt Stadion,Frankfurt Arena,Deutsche Bank Park
2036202,2nd: D,2nd: E,,,,,,,,,,,2024,2024-07-01,2024-07-01T16:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,1100174,GER,44559.0,51.260304,6.732731,105.0,68.0,,,,,[],Dusseldorf,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,ESPRIT arena
2036199,1st: B,3rd: A/D/E/F,,,,,,,,,,,2024,2024-06-30,2024-06-30T19:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,52864,GER,45134.0,50.9335056,6.8749944,105.0,68.0,,,,,[],Cologne,Cologne Stadium,RheinEnergieStadion,Stadion Köln,Cologne Stadium,RheinEnergieStadion
2036200,1st: C,3rd: D/E/F,,,,,,,,,,,2024,2024-06-30,2024-06-30T16:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,79089,GER,54740.0,51.5545417,7.0675694,105.0,68.0,,,,,[],Gelsenkirchen,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Veltins Arena
2036197,1st: A,2nd: C,,,,,,,,,,,2024,2024-06-29,2024-06-29T19:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,57798,GER,81365.0,51.4925889,7.4517722,105.0,68.0,,,,,[],Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,Signal Iduna Park
2036198,2nd: A,2nd: B,,,,,,,,,,,2024,2024-06-29,2024-06-29T16:00:00Z,2.0,,MD4,,,,,,UPCOMING,SINGLE,ROUND_OF_16,KNOCK_OUT,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,[],Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036195,Czechia,Türkiye,CZE,TUR,,,,,,,,,2024,2024-06-26,2024-06-26T19:00:00Z,2.0,Group F,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53103,GER,51831.0,53.5871556,9.8985528,105.0,68.0,,,,,"[{'name': 'Mark Evans', 'role': 'UEFA_DELEGATE', 'name_short': 'Evans', 'gender': 'MALE', 'counrty_code': 'WAL', 'counrty': 'Wales'}]",Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
2036196,Georgia,Portugal,GEO,POR,,,,,,,,,2024,2024-06-26,2024-06-26T19:00:00Z,2.0,Group F,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,79089,GER,54740.0,51.5545417,7.0675694,105.0,68.0,,,,,"[{'name': 'Iveta Bankova', 'role': 'UEFA_DELEGATE', 'name_short': 'Bankova', 'gender': 'FEMALE', 'counrty_code': 'BUL', 'counrty': 'Bulgaria'}]",Gelsenkirchen,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Veltins Arena
2036193,Ukraine,Belgium,UKR,BEL,,,,,,,,,2024,2024-06-26,2024-06-26T16:00:00Z,2.0,Group E,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53101,GER,54697.0,48.7922694,9.2320083,105.0,68.0,,,,,"[{'name': 'Per Svärd', 'role': 'UEFA_DELEGATE', 'name_short': 'Svärd', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}]",Stuttgart,Stuttgart Arena,Mercedes-Benz-Arena,Arena Stuttgart,Stuttgart Arena,Mercedes-Benz Arena
2036194,Slovakia,Romania,SVK,ROU,,,,,,,,,2024,2024-06-26,2024-06-26T16:00:00Z,2.0,Group E,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85690,GER,49474.0,50.0685861,8.6454556,105.0,68.0,,,,,"[{'name': 'Konul Mehtiyeva', 'role': 'UEFA_DELEGATE', 'name_short': 'Mehtiyeva', 'gender': 'FEMALE', 'counrty_code': 'AZE', 'counrty': 'Azerbaijan'}]",Frankfurt am Main,Frankfurt Arena,Frankfurt Stadion,Frankfurt Stadion,Frankfurt Arena,Deutsche Bank Park
2036190,Denmark,Serbia,DEN,SRB,,,,,,,,,2024,2024-06-25,2024-06-25T19:00:00Z,2.0,Group C,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85441,GER,75000.0,48.2187944,11.6247306,105.0,68.0,,,,,"[{'name': 'Arturs Gaidels', 'role': 'UEFA_DELEGATE', 'name_short': 'Gaidels', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}]",Munich,Munich Football Arena,Football Arena Munich,Fußball Arena München,Munich Football Arena,Allianz Arena
2036189,England,Slovenia,ENG,SVN,,,,,,,,,2024,2024-06-25,2024-06-25T19:00:00Z,2.0,Group C,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,52864,GER,45134.0,50.9335056,6.8749944,105.0,68.0,,,,,"[{'name': 'Paolo Rondelli', 'role': 'UEFA_DELEGATE', 'name_short': 'Rondelli', 'gender': 'MALE', 'counrty_code': 'SMR', 'counrty': 'San Marino'}]",Cologne,Cologne Stadium,RheinEnergieStadion,Stadion Köln,Cologne Stadium,RheinEnergieStadion
2036191,France,Poland,FRA,POL,,,,,,,,,2024,2024-06-25,2024-06-25T16:00:00Z,2.0,Group D,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,57798,GER,81365.0,51.4925889,7.4517722,105.0,68.0,,,,,"[{'name': 'Peter Lundström', 'role': 'UEFA_DELEGATE', 'name_short': 'Lundström', 'gender': 'MALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}]",Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,Signal Iduna Park
2036192,Netherlands,Austria,NED,AUT,,,,,,,,,2024,2024-06-25,2024-06-25T16:00:00Z,2.0,Group D,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,"[{'name': 'Filip Popovski', 'role': 'UEFA_DELEGATE', 'name_short': 'Popovski', 'gender': 'MALE', 'counrty_code': 'MKD', 'counrty': 'North Macedonia'}]",Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036188,Croatia,Italy,CRO,ITA,,,,,,,,,2024,2024-06-24,2024-06-24T19:00:00Z,2.0,Group B,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85442,GER,42146.0,51.3457333,12.3481806,105.0,68.0,,,,,"[{'name': 'Paul Lyon', 'role': 'UEFA_DELEGATE', 'name_short': 'Lyon', 'gender': 'MALE', 'counrty_code': 'GIB', 'counrty': 'Gibraltar'}]",Leipzig,Leipzig Stadium,RB Arena,RB Arena,Leipzig Stadium,Red Bull Arena
2036187,Albania,Spain,ALB,ESP,,,,,,,,,2024,2024-06-24,2024-06-24T19:00:00Z,2.0,Group B,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,1100174,GER,44559.0,51.260304,6.732731,105.0,68.0,,,,,"[{'name': 'Adrian Ixari', 'role': 'UEFA_DELEGATE', 'name_short': 'Ixari', 'gender': 'MALE', 'counrty_code': 'MDA', 'counrty': 'Moldova'}]",Dusseldorf,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,ESPRIT arena
2036186,Scotland,Hungary,SCO,HUN,,,,,,,,,2024,2024-06-23,2024-06-23T19:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53101,GER,54697.0,48.7922694,9.2320083,105.0,68.0,,,,,"[{'name': 'Per Svärd', 'role': 'UEFA_DELEGATE', 'name_short': 'Svärd', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}]",Stuttgart,Stuttgart Arena,Mercedes-Benz-Arena,Arena Stuttgart,Stuttgart Arena,Mercedes-Benz Arena
2036185,Switzerland,Germany,SUI,GER,,,,,,,,,2024,2024-06-23,2024-06-23T19:00:00Z,2.0,Group A,MD3,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85690,GER,49474.0,50.0685861,8.6454556,105.0,68.0,,,,,"[{'name': 'Konul Mehtiyeva', 'role': 'UEFA_DELEGATE', 'name_short': 'Mehtiyeva', 'gender': 'FEMALE', 'counrty_code': 'AZE', 'counrty': 'Azerbaijan'}]",Frankfurt am Main,Frankfurt Arena,Frankfurt Stadion,Frankfurt Stadion,Frankfurt Arena,Deutsche Bank Park
2036181,Belgium,Romania,BEL,ROU,,,,,,,,,2024,2024-06-22,2024-06-22T19:00:00Z,2.0,Group E,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,52864,GER,45134.0,50.9335056,6.8749944,105.0,68.0,,,,,"[{'name': 'Paolo Rondelli', 'role': 'UEFA_DELEGATE', 'name_short': 'Rondelli', 'gender': 'MALE', 'counrty_code': 'SMR', 'counrty': 'San Marino'}]",Cologne,Cologne Stadium,RheinEnergieStadion,Stadion Köln,Cologne Stadium,RheinEnergieStadion
2036183,Türkiye,Portugal,TUR,POR,,,,,,,,,2024,2024-06-22,2024-06-22T16:00:00Z,2.0,Group F,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,57798,GER,81365.0,51.4925889,7.4517722,105.0,68.0,,,,,"[{'name': 'Peter Lundström', 'role': 'UEFA_DELEGATE', 'name_short': 'Lundström', 'gender': 'MALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}]",Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,BVB Stadion Dortmund,Signal Iduna Park
2036184,Georgia,Czechia,GEO,CZE,,,,,,,,,2024,2024-06-22,2024-06-22T13:00:00Z,2.0,Group F,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53103,GER,51831.0,53.5871556,9.8985528,105.0,68.0,,,,,"[{'name': 'Mark Evans', 'role': 'UEFA_DELEGATE', 'name_short': 'Evans', 'gender': 'MALE', 'counrty_code': 'WAL', 'counrty': 'Wales'}]",Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
2036180,Netherlands,France,NED,FRA,,,,,,,,,2024,2024-06-21,2024-06-21T19:00:00Z,2.0,Group D,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85442,GER,42146.0,51.3457333,12.3481806,105.0,68.0,,,,,"[{'name': 'Fedayi San', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'San', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Stuart Attwell', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Attwell', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Glenn Nyberg', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Nyberg', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Gary Beswick', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Beswick', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Anthony Taylor', 'role': 'REFEREE', 'name_short': 'Taylor', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Adam Nunn', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Nunn', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Paul Lyon', 'role': 'UEFA_DELEGATE', 'name_short': 'Lyon', 'gender': 'MALE', 'counrty_code': 'GIB', 'counrty': 'Gibraltar'}, {'name': 'Marco Fritz', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Fritz', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Kyros Vassaras', 'role': 'REFEREE_OBSERVER', 'name_short': 'Vassaras', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}]",Leipzig,Leipzig Stadium,RB Arena,RB Arena,Leipzig Stadium,Red Bull Arena
2036179,Poland,Austria,POL,AUT,,,,,,,,,2024,2024-06-21,2024-06-21T16:00:00Z,2.0,Group D,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,"[{'name': 'Emre Eyisoy', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Eyisoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Lutz Michael Fröhlich', 'role': 'REFEREE_OBSERVER', 'name_short': 'Fröhlich', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Alper Ulusoy', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Ulusoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Umut Meler', 'role': 'REFEREE', 'name_short': 'Meler', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Filip Popovski', 'role': 'UEFA_DELEGATE', 'name_short': 'Popovski', 'gender': 'MALE', 'counrty_code': 'MKD', 'counrty': 'North Macedonia'}, {'name': 'Rade Obrenovic', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Obrenovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Massimiliano Irrati', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Irrati', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Paolo Valeri', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Valeri', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Kerem Ersoy', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kerem Ersoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}]",Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036182,Slovakia,Ukraine,SVK,UKR,,,,,,,,,2024,2024-06-21,2024-06-21T13:00:00Z,2.0,Group E,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,1100174,GER,44559.0,51.260304,6.732731,105.0,68.0,,,,,"[{'name': 'Dan Cook', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Cook', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'David Coote', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Coote', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Michael Oliver', 'role': 'REFEREE', 'name_short': 'Oliver', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Stuart Burt', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Burt', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Bastian Dankert', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dankert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Christian Dingert', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Dingert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Adrian Ixari', 'role': 'UEFA_DELEGATE', 'name_short': 'Ixari', 'gender': 'MALE', 'counrty_code': 'MDA', 'counrty': 'Moldova'}, {'name': 'Serdar Gözübüyük', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Gözübüyük', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Hugh Dallas', 'role': 'REFEREE_OBSERVER', 'name_short': 'Dallas', 'gender': 'MALE', 'counrty_code': '', 'counrty': ''}]",Dusseldorf,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,ESPRIT arena
2036175,Spain,Italy,ESP,ITA,,,,,,,,,2024,2024-06-20,2024-06-20T19:00:00Z,2.0,Group B,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,79089,GER,54740.0,51.5545417,7.0675694,105.0,68.0,,,,,"[{'name': 'Bartosz Frankowski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Frankowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Andraž Kovačič', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kovačič', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Nejc Kajtazovic', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Kajtazovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Tomaž Klančnik', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Klančnik', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Clément Turpin', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Turpin', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Iveta Bankova', 'role': 'UEFA_DELEGATE', 'name_short': 'Bankova', 'gender': 'FEMALE', 'counrty_code': 'BUL', 'counrty': 'Bulgaria'}, {'name': 'Slavko Vinčić', 'role': 'REFEREE', 'name_short': 'Vinčić', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Frank De Bleeckere', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Bleeckere', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Tomasz Kwiatkowski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Kwiatkowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}]",Gelsenkirchen,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Veltins Arena
