country,country_code,year,goals
Albania,ALB,2016,3.0
Albania,ALB,2024,5.0
Austria,AUT,2008,2.0
Austria,AUT,2016,4.0
Austria,AUT,2020,7.0
Austria,AUT,2024,0.0
Belgium,BEL,1972,6.0
Belgium,BEL,1980,7.0
Belgium,BEL,1984,4.0
Belgium,BEL,2000,3.0
Belgium,BEL,2016,17.0
Belgium,BEL,2020,13.0
Belgium,BEL,2024,1.0
Bulgaria,BUL,1996,3.0
Bulgaria,BUL,2004,2.0
Commonwealth of Independent States,CIS,1992,1.0
Croatia,CRO,1996,8.0
Croatia,CRO,2004,8.0
Croatia,CRO,2008,8.0
Croatia,CRO,2012,9.0
Croatia,CRO,2016,9.0
Croatia,CRO,2020,12.0
Croatia,CRO,2024,3.0
Czechia,CZE,1996,12.0
Czechia,CZE,2000,5.0
Czechia,CZE,2004,16.0
Czechia,CZE,2008,10.0
Czechia,CZE,2012,8.0
Czechia,CZE,2016,5.0
Czechia,CZE,2020,13.0
Czechia,CZE,2024,1.0
Czechoslovakia,TCH,1960,5.0
Czechoslovakia,TCH,1976,7.0
Czechoslovakia,TCH,1980,11.0
Denmark,DEN,1964,4.0
Denmark,DEN,1984,10.0
Denmark,DEN,1988,5.0
Denmark,DEN,1992,10.0
Denmark,DEN,1996,7.0
Denmark,DEN,2000,5.0
Denmark,DEN,2004,7.0
Denmark,DEN,2012,10.0
Denmark,DEN,2020,24.0
Denmark,DEN,2024,2.0
England,ENG,1968,2.0
England,ENG,1980,6.0
England,ENG,1988,9.0
England,ENG,1992,2.0
England,ENG,1996,14.0
England,ENG,2000,8.0
England,ENG,2004,16.0
England,ENG,2012,8.0
England,ENG,2016,7.0
England,ENG,2020,17.0
England,ENG,2024,2.0
Finland,FIN,2020,4.0
France,FRA,1960,9.0
France,FRA,1984,16.0
France,FRA,1992,5.0
France,FRA,1996,7.0
France,FRA,2000,19.0
France,FRA,2004,11.0
France,FRA,2008,3.0
France,FRA,2012,5.0
France,FRA,2016,16.0
France,FRA,2020,9.0
France,FRA,2024,1.0
Georgia,GEO,2024,2.0
Germany,GER,1992,13.0
Germany,GER,1996,15.0
Germany,GER,2000,2.0
Germany,GER,2004,5.0
Germany,GER,2008,18.0
Germany,GER,2012,16.0
Germany,GER,2016,9.0
Germany,GER,2020,9.0
Germany,GER,2024,4.0
Greece,GRE,1980,3.0
Greece,GRE,2004,12.0
Greece,GRE,2008,6.0
Greece,GRE,2012,9.0
Hungary,HUN,1964,5.0
Hungary,HUN,1972,3.0
Hungary,HUN,2016,14.0
Hungary,HUN,2020,8.0
Hungary,HUN,2024,4.0
Iceland,ISL,2016,12.0
Italy,ITA,1968,4.0
Italy,ITA,1980,4.0
Italy,ITA,1988,5.0
Italy,ITA,1996,5.0
Italy,ITA,2000,12.0
Italy,ITA,2004,4.0
Italy,ITA,2008,5.0
Italy,ITA,2012,9.0
Italy,ITA,2016,9.0
Italy,ITA,2020,19.0
Italy,ITA,2024,3.0
Latvia,LVA,2004,1.0
Netherlands,NED,1976,6.0
Netherlands,NED,1980,5.0
Netherlands,NED,1988,17.0
Netherlands,NED,1992,9.0
Netherlands,NED,1996,8.0
Netherlands,NED,2000,18.0
Netherlands,NED,2004,10.0
Netherlands,NED,2008,14.0
Netherlands,NED,2012,6.0
Netherlands,NED,2020,14.0
Netherlands,NED,2024,4.0
North Macedonia,MKD,2020,7.0
Northern Ireland,NIR,2016,4.0
Norway,NOR,2000,3.0
Poland,POL,2008,2.0
Poland,POL,2012,4.0
Poland,POL,2016,7.0
Poland,POL,2020,8.0
Poland,POL,2024,3.0
Portugal,POR,1984,7.0
Portugal,POR,1996,9.0
Portugal,POR,2000,15.0
Portugal,POR,2004,15.0
Portugal,POR,2008,12.0
Portugal,POR,2012,11.0
Portugal,POR,2016,15.0
Portugal,POR,2020,10.0
Portugal,POR,2024,2.0
Republic of Ireland,IRL,1988,5.0
Republic of Ireland,IRL,2012,4.0
Republic of Ireland,IRL,2016,4.0
Romania,ROU,1984,3.0
Romania,ROU,1996,4.0
Romania,ROU,2000,7.0
Romania,ROU,2008,2.0
Romania,ROU,2016,3.0
Romania,ROU,2024,3.0
Russia,RUS,1996,11.0
Russia,RUS,2004,5.0
Russia,RUS,2008,15.0
Russia,RUS,2012,7.0
Russia,RUS,2016,8.0
Russia,RUS,2020,6.0
Scotland,SCO,1992,4.0
Scotland,SCO,1996,3.0
Scotland,SCO,2020,4.0
Scotland,SCO,2024,0.0
Serbia,SRB,2024,1.0
Slovakia,SVK,2016,6.0
Slovakia,SVK,2020,5.0
Slovakia,SVK,2024,2.0
Slovenia,SVN,2000,9.0
Slovenia,SVN,2024,2.0
Spain,ESP,1964,6.0
Spain,ESP,1980,4.0
Spain,ESP,1984,7.0
Spain,ESP,1988,6.0
Spain,ESP,1996,7.0
Spain,ESP,2000,14.0
Spain,ESP,2004,4.0
Spain,ESP,2008,21.0
Spain,ESP,2012,13.0
Spain,ESP,2016,6.0
Spain,ESP,2020,22.0
Spain,ESP,2024,3.0
Sweden,SWE,1992,10.0
Sweden,SWE,2000,4.0
Sweden,SWE,2004,9.0
Sweden,SWE,2008,7.0
Sweden,SWE,2012,8.0
Sweden,SWE,2016,2.0
Sweden,SWE,2020,8.0
Switzerland,SUI,1996,3.0
Switzerland,SUI,2004,4.0
Switzerland,SUI,2008,5.0
Switzerland,SUI,2016,5.0
Switzerland,SUI,2020,13.0
Switzerland,SUI,2024,6.0
Türkiye,TUR,2024,4.0
Türki̇ye,TUR,1996,4.0
Türki̇ye,TUR,2000,6.0
Türki̇ye,TUR,2008,15.0
Türki̇ye,TUR,2016,5.0
Türki̇ye,TUR,2020,6.0
USSR,URS,1960,9.0
USSR,URS,1964,8.0
USSR,URS,1968,0.0
USSR,URS,1972,2.0
USSR,URS,1988,14.0
Ukraine,UKR,2012,5.0
Ukraine,UKR,2016,3.0
Ukraine,UKR,2020,16.0
Ukraine,UKR,2024,0.0
Wales,WAL,2016,15.0
Wales,WAL,2020,10.0
West Germany,FRG,1972,7.0
West Germany,FRG,1976,12.0
West Germany,FRG,1980,9.0
West Germany,FRG,1984,4.0
West Germany,FRG,1988,9.0
Yugoslavia,YUG,1960,12.0
Yugoslavia,YUG,1968,3.0
Yugoslavia,YUG,1976,10.0
Yugoslavia,YUG,1984,2.0
Yugoslavia,YUG,2000,15.0
